District,risque_moyen_2026,risque_max_2026,mois_pic_2026,Province,Détection tardive,Animal non attaché,Source d'eau contaminée,Infection non isolée
BONGOR,0.3489554892374677,0.9010378545026807,2026-05,MKE,0.16091954022988506,0.6091954022988506,0.1839080459770115,0.2988505747126437
GUELENDENG,0.2199979964874885,0.5451377121103989,2026-09,MKE,0.1895424836601307,0.35947712418300654,0.16993464052287582,0.2679738562091503
SARH,0.2185056201375349,0.4243500317521868,2026-07,MC,0.09743589743589744,0.4461538461538462,0.26666666666666666,0.29743589743589743
LAI,0.20651117069753935,0.6147063896605138,2026-07,Tandjile,0.22077922077922077,0.4935064935064935,0.2077922077922078,0.4155844155844156
DANAMADJI,0.17765605357967332,0.3929983977926062,2026-08,MC,0.1323529411764706,0.5294117647058824,0.19117647058823528,0.27941176470588236
KOYOM,0.1557544906558458,0.4184002660698575,2026-08,MKE,0.16666666666666666,1.0,0.3333333333333333,0.3333333333333333
HARAZE,0.14220523971872265,0.438340625802331,2026-09,SLM,0.11764705882352941,0.7352941176470589,0.17647058823529413,0.35294117647058826
BERE,0.12375449058979428,0.5644594159038676,2026-08,Tandjile,0.20869565217391303,0.3217391304347826,0.17391304347826086,0.21739130434782608
KORBOL,0.1218069783727891,0.45350875247221684,2026-09,MC,0.08695652173913043,0.782608695652174,0.30434782608695654,0.34782608695652173
KOLON,0.11029445399005477,0.4287362567332958,2026-09,Tandjile,0.36363636363636365,0.6818181818181818,0.22727272727272727,0.6363636363636364
9E ARRONDISSEMENT,0.09585291479474702,0.22356908023693284,2026-05,NDJ,0.2222222222222222,0.7222222222222222,0.3888888888888889,0.3888888888888889
BIOBE,0.09378442122559277,0.28981160770638514,2026-09,MC,0.1875,0.6875,0.20833333333333334,0.2916666666666667
DOBA,0.08744397149286731,0.2854059380490972,2026-08,LOGONE ORIENTAL,0.0,0.75,0.0,0.25
BEBALEM,0.08043399007967554,0.3660606859681979,2026-08,LOC,0.0,0.875,0.0,0.125
MOURAYE,0.072386793481741,0.23515038262760468,2026-08,SLM,0.0,1.0,0.0,1.0
KYABE,0.06517748223945753,0.17227871585287796,2026-07,MC,0.11650485436893204,0.5048543689320388,0.14563106796116504,0.21359223300970873
GAM,0.0615561369725987,0.11422699106438859,2026-09,MKE,0.25,1.0,0.25,0.5
BOUSSO,0.05637609829674577,0.12442000091723587,2026-09,CB,0.2,0.36,0.16,0.24
BEDAYA,0.04000963434959079,0.16528394424101325,2026-08,MDL,0.25,0.75,0.125,0.125
GUENE,0.03843482325268372,0.1262319898644524,2026-04,MKE,0.06779661016949153,0.7966101694915254,0.2033898305084746,0.2711864406779661
BAILLI,0.03376705819214898,0.05355499041544996,2026-08,CB,0.19444444444444445,0.5462962962962963,0.21296296296296297,0.28703703703703703
AM TIMAN,0.03164168826595885,0.11745052098423832,2026-09,SLM,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666
BENOYE,0.031162462926151727,0.1030985776814392,2026-08,LOC,0.09302325581395349,0.6976744186046512,0.20930232558139536,0.27906976744186046
BILIAM-OURSI,0.02905640755310009,0.05625507332945232,2026-09,MKE,0.5,1.0,0.5,0.5
DOURBALI,0.027375095199874105,0.05467022164507838,2026-06,CB,0.0,0.5,0.0,0.0
MOULKOU,0.02736863874099806,0.046750027008063674,2026-09,MKE,0.1,0.9,0.2,0.4
BEKOUROU,0.02695650244305089,0.059902803319423235,2026-09,MDL,0.0,1.0,0.0,0.0
BALIMBA,0.025873082744842412,0.10320018364063033,2026-08,MC,0.15555555555555556,0.24444444444444444,0.1111111111111111,0.26666666666666666
ABOUDEIA,0.024793965768680398,0.056562823624784264,2026-08,SLM,0.0,1.0,0.0,0.0
KOUNO,0.023897478448718923,0.06146613102014151,2026-09,CB,0.25,0.3333333333333333,0.25,0.25
MOISSALA,0.02090571416398898,0.06028056492930065,2026-09,MDL,0.0,0.0,0.0,1.0
MANGALME,0.01922055227181056,0.06654470360826298,2026-09,Guera,0.25,0.75,0.0,0.0
MASSENYA,0.0182088749577283,0.026793988279199345,2026-05,CB,0.05357142857142857,0.6428571428571429,0.10714285714285714,0.19642857142857142
FIANGA,0.017309900391236522,0.025388921889255033,2026-03,MKE,0.13636363636363635,0.8181818181818182,0.2727272727272727,0.3181818181818182
MANDELIA,0.015860606174467815,0.042201952262008346,2026-07,CB,0.17857142857142858,0.44642857142857145,0.16071428571428573,0.35714285714285715
N'DJAMENA SUD,0.010629524941769957,0.01794178950937953,2026-06,NDJ,0.0,0.6666666666666666,0.3333333333333333,1.0
