Village,risque_moyen_2026,risque_max_2026,mois_pic_2026,Province,Détection tardive,Animal non attaché,Source d'eau contaminée,Infection non isolée
NAHAINA | NAHAINA | BONGOR,0.10786017893186874,0.4046920473766635,2026-04,MKE,0.05405405405405406,0.5135135135135135,0.21621621621621623,0.35135135135135137
FOUGADI | NAHAINA | BONGOR,0.03846497286067668,0.18279053689810632,2026-06,MKE,0.5,0.25,0.75,0.75
KOLONG 1 | KOLONG | GUENE,0.03581871028105698,0.22703051906748015,2026-04,MKE,0.09523809523809523,0.9047619047619048,0.23809523809523808,0.2857142857142857
MAIMANA | MAIMANA | DANAMADJI,0.030754131377990813,0.1454220684958212,2026-05,MC,0.10526315789473684,0.5263157894736842,0.3157894736842105,0.3157894736842105
KOLONG 2 | KOLONG | GUENE,0.026896488401341897,0.13677647436675391,2026-04,MKE,0.0,0.8235294117647058,0.11764705882352941,0.11764705882352941
HAM BOGOL | HAM | BONGOR,0.02533917615694385,0.10229256238212779,2026-06,MKE,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
KOIN | NIELLIM | KORBOL,0.024541784589770046,0.102029402005249,2026-08,MC,0.07692307692307693,1.0,0.23076923076923078,0.23076923076923078
MOUROUP 1 | HAM | BONGOR,0.023620655160462814,0.073707804574531,2026-05,MKE,0.5,1.0,0.0,0.0
DABA ZERO | BALAMPOUTA | BONGOR,0.021815848943609887,0.12392557689717183,2026-04,MKE,0.2,0.8,0.0,0.1
GRAND-TOUGOUDE | NAHAINA | BONGOR,0.02168484079900637,0.08110161340284873,2026-05,MKE,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857
KAOUTIL | KOLOBO | KOYOM,0.020001719188569897,0.09848385672573143,2026-05,MKE,0.0,1.0,0.3333333333333333,0.3333333333333333
MOUSSA | DJARWAYE | BONGOR,0.018970484542210304,0.08110022360838796,2026-05,MKE,0.16666666666666666,1.0,0.3333333333333333,0.3333333333333333
DJARWAYE | DJARWAYE | BONGOR,0.018866177313190565,0.039886686341498244,2026-06,MKE,0.08,0.32,0.08,0.16
PETIT TOUGOUDE | BALAMPOUTA | BONGOR,0.016701590021928916,0.03880467313077158,2026-06,MKE,0.14285714285714285,0.8095238095238095,0.09523809523809523,0.19047619047619047
MOUNA | NGUELENGOU | GUENE,0.016114555361275287,0.08993322344168489,2026-04,MKE,0.25,0.25,0.25,1.0
ZIGUI | DJARWAYE | BONGOR,0.015219943128424092,0.05112593990547304,2026-04,MKE,0.2,0.6,0.1,0.2
GUELENDENG | GUELENDENG 3 | GUELENDENG,0.014991163449069261,0.059369738399241936,2026-08,MKE,0.25,0.0,1.0,1.0
BONGOR SIEKE | BONGOR SIEKE | BONGOR,0.014419735601455803,0.04535173677462241,2026-05,MKE,0.0,0.75,0.25,0.25
KOLONG | KOLONG | FIANGA,0.011596208311071027,0.026439666405808197,2026-06,MKE,0.21428571428571427,0.8571428571428571,0.2857142857142857,0.35714285714285715
KOUMA | KOUMA | KOLON,0.010991136267111358,0.04865389520410745,2026-08,Tandjile,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666
GOTOBENDJA | KEMATA | SARH,0.010918990852628667,0.06936758347543504,2026-04,MC,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857
BEBITA | KEMATA | SARH,0.010366764493601197,0.041272910775552035,2026-05,MC,0.0,0.5,0.1,0.2
GOUDI | KOLONG | GUENE,0.009803368371839524,0.03770942162387938,2026-05,MKE,0.0,1.0,0.0,0.0
DABA | BONGOR SIEKE | BONGOR,0.00895646757010359,0.01852825272464153,2026-05,MKE,0.0,1.0,0.0,0.0
ABENA | HAM | BONGOR,0.008666682143281437,0.019232896243311537,2026-05,MKE,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
GUELENDENG | GUELENDENG 2 | GUELENDENG,0.008665000380610435,0.023022495328883057,2026-08,MKE,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.15384615384615385
MANKOME | MAYO 2 | BIOBE,0.008529126920237192,0.02387060408159329,2026-08,MC,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
HAM PAUDY | HAM | BONGOR,0.007866742147448529,0.018006512486711524,2026-05,MKE,0.0,1.0,0.0,0.0
NDOKORO | BADARA | SARH,0.007699036119605422,0.012561729008137835,2026-05,MC,0.058823529411764705,0.6470588235294118,0.058823529411764705,0.11764705882352941
BALAMPOUTA | BALAMPOUTA | BONGOR,0.0073816744432751505,0.01672389953364768,2026-06,MKE,0.0,1.0,0.0,0.0
TOUTEL | BIANG | KOLON,0.007334168273838869,0.03246632563015972,2026-09,Tandjile,0.5,1.0,0.5,0.5
MADY GOUH | NGUELENGOU | GUENE,0.007237475787944721,0.01977303026823453,2026-06,MKE,0.0,1.0,0.0,0.0
HELIBONGO | KOKAGA | SARH,0.007168496486341043,0.015443890205188809,2026-09,MC,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666
ERE | ERE | KOYOM,0.006996376324007757,0.015058380053645699,2026-06,MKE,0.0,1.0,0.0,0.0
